	nHF511704	nHM512705	nHM611708	nHF611710	nHM511712	nHM410714	nHM511615	nHM412716	nHM511717	nHF411719	nHM511720	nHF612722	nHF611623	nHMX11726	nHM410727	nHM511730	nHM510831	nHM510732	nHM511735	nHM510737	nHM511738	nHF411741	nHF409542	nHM612743	nHM411801	nHM512802	nHM412703	nHM512806	nHM612607	nHM612709	nHM512811	nHM511813	nHF512818	nHM511821	nHM612724	nHM512828	nHF512829	nHM410833	nHM512834	nHM412839	nHM412844	H1M514901	H1M413802	H1M513803	H1M513804	H1M414905	H1M513606	H1M513807	H1M512808	H1M412809	H1M513810	H1M313811	H1M513912	H1M513813	H1M5XX814	H1M413815	H1M513816	H1F513817	H1F513818	H1M513819	H1M513820	H1M512821	H1M413822	H1M513823	H1M613824	H1M613825	H1M513826	H1M413827	H1M513828	H1M513729	H1M513730	H1M512831	H1M412832	H1M511833	H1M512834	H1M412835	H1M512836	H1M412837	H1M513738	H1F613739	H1M512840	H1M511841	H1M511842	H1M412743	H1M412844	H1M613745	H1F413846	H1M513747	H1M213648	H1M513852	H1M512853	H1M512854	H1M512855	H2M414940	nHM511825	nHM612836	nHM412840	H2M514901	H2M414102	H2M514903	H2M614904	H2M514905	H2M514906	H2M514108	H2M514909	H2F514910	H2M514911	H2M615912	H2M413913	H2M415914	H2M413915	H2MX14816	H2M514917	H2M514818	H2M511919	H2M411920	H2M515921	H2M515822	H2F514923	H2M413924	H2M514925	H2M414926	H2M414927	H2MX14928	H2M614929	H2M514930	H2M414931	H2M614832	H2M513933	H2M513934	H2F413935	H2M513936	H2M513937	H2M513938	H2M513939	H2M514841	H2M614742	H2M514943	H3M415852	H3M515950	H3M516845	H3M615846	H3M615747	H3M515936	H3M515137	H3M515138	H3M414933	H3M515128	H3M515920	H3M515915	H3M515910	H3M415906	H3M515902	H1M412949	H1M612950	H1F512951	H3M515101	H3F416103	H3M516804	H3M516105	H3M515107	H3M518108	H3M516909	H3F516111	H3M518112	H3M516113	H3M516114	H3M518116	H3M415117	H3M516118	H3MX16919	H3M517921	H3M517922	H3M515123	H3M416124	H3M517925	H3M420126	H3M416127	H3M516129	H3M515130	H3M415131	H3M615132	H3M517134	H3M515935	H3M419939	H3M415140	H3M513141	H3M514142	H3M514143	H3M514144	H3M616848	H3M617849	H3M516751	H3M616753	H3M516154	H2M514107
subjectID	nHF511704	nHM512705	nHM611708	nHF611710	nHM511712	nHM410714	nHM511615	nHM412716	nHM511717	nHF411719	nHM511720	nHF612722	nHF611623	nHMX11726	nHM410727	nHM511730	nHM510831	nHM510732	nHM511735	nHM510737	nHM511738	nHF411741	nHF409542	nHM612743	nHM411801	nHM512802	nHM412703	nHM512806	nHM612607	nHM612709	nHM512811	nHM511813	nHF512818	nHM511821	nHM612724	nHM512828	nHF512829	nHM410833	nHM512834	nHM412839	nHM412844	H1M514901	H1M413802	H1M513803	H1M513804	H1M414905	H1M513606	H1M513807	H1M512808	H1M412809	H1M513810	H1M313811	H1M513912	H1M513813	H1M5XX814	H1M413815	H1M513816	H1F513817	H1F513818	H1M513819	H1M513820	H1M512821	H1M413822	H1M513823	H1M613824	H1M613825	H1M513826	H1M413827	H1M513828	H1M513729	H1M513730	H1M512831	H1M412832	H1M511833	H1M512834	H1M412835	H1M512836	H1M412837	H1M513738	H1F613739	H1M512840	H1M511841	H1M511842	H1M412743	H1M412844	H1M613745	H1F413846	H1M513747	H1M213648	H1M513852	H1M512853	H1M512854	H1M512855	H2M414940	nHM511825	nHM612836	nHM412840	H2M514901	H2M414102	H2M514903	H2M614904	H2M514905	H2M514906	H2M514108	H2M514909	H2F514910	H2M514911	H2M615912	H2M413913	H2M415914	H2M413915	H2MX14816	H2M514917	H2M514818	H2M511919	H2M411920	H2M515921	H2M515822	H2F514923	H2M413924	H2M514925	H2M414926	H2M414927	H2MX14928	H2M614929	H2M514930	H2M414931	H2M614832	H2M513933	H2M513934	H2F413935	H2M513936	H2M513937	H2M513938	H2M513939	H2M514841	H2M614742	H2M514943	H3M415852	H3M515950	H3M516845	H3M615846	H3M615747	H3M515936	H3M515137	H3M515138	H3M414933	H3M515128	H3M515920	H3M515915	H3M515910	H3M415906	H3M515902	H1M412949	H1M612950	H1F512951	H3M515101	H3F416103	H3M516804	H3M516105	H3M515107	H3M518108	H3M516909	H3F516111	H3M518112	H3M516113	H3M516114	H3M518116	H3M415117	H3M516118	H3MX16919	H3M517921	H3M517922	H3M515123	H3M416124	H3M517925	H3M420126	H3M416127	H3M516129	H3M515130	H3M415131	H3M615132	H3M517134	H3M515935	H3M419939	H3M415140	H3M513141	H3M514142	H3M514143	H3M514144	H3M616848	H3M617849	H3M516751	H3M616753	H3M516154	H2M514107
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
study_condition	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	pre-hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension
disease	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension	hypertension
age_category	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult
country	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN
location	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan	Tangshan
non_westernized	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
DNA_extraction_kit	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen	Tiangen
